Ref,Val,Package,PosX,PosY,Rot,Side
"C19","100nF","C_0603_1608Metric",118.237000,-82.677000,270.000000,bottom
"C20","100nF","C_0603_1608Metric",152.146000,-107.188000,180.000000,bottom
"C21","100nF","C_0603_1608Metric",100.076000,-85.826500,270.000000,bottom
"C22","10uF","C_0603_1608Metric",98.171000,-85.852000,270.000000,bottom
"C25","0.1uf","C_0603_1608Metric",96.393000,-121.539000,0.000000,bottom
"C26","100nF","C_0603_1608Metric",89.027000,-121.539000,0.000000,bottom
"C27","0.1uf","C_0603_1608Metric",92.710000,-121.539000,0.000000,bottom
"C31","100nF","C_0603_1608Metric",100.076000,-121.539000,0.000000,bottom
"C36","100nF","C_0603_1608Metric",85.153500,-94.234000,270.000000,bottom
"C38","100nF","C_0603_1608Metric",159.385000,-123.063000,90.000000,bottom
"C39","100nF","C_0603_1608Metric",144.018000,-125.984000,0.000000,bottom
"C40","100nF","C_0603_1608Metric",126.238000,-98.958500,270.000000,bottom
"C43","100nF","C_0603_1608Metric",103.886000,-121.539000,0.000000,bottom
"C45","100nF","C_0603_1608Metric",114.808000,-121.539000,0.000000,bottom
"C46","100nF","C_0603_1608Metric",125.857000,-121.539000,0.000000,bottom
"C47","100nF","C_0603_1608Metric",122.174000,-121.539000,0.000000,bottom
"C48","100nF","C_0603_1608Metric",129.540000,-121.539000,0.000000,bottom
"C49","100nF","C_0603_1608Metric",118.491000,-121.539000,0.000000,bottom
"C50","100nF","C_0603_1608Metric",107.442000,-121.539000,0.000000,bottom
"C51","100nF","C_0603_1608Metric",111.125000,-121.539000,0.000000,bottom
"C52","100nF","C_0603_1608Metric",86.614000,-99.695000,270.000000,bottom
"C53","100nf","C_0603_1608Metric",119.761000,-79.629000,90.000000,bottom
"C56","10uf","C_0603_1608Metric",86.614000,-95.885000,90.000000,bottom
"C57","10uf","C_0603_1608Metric",126.238000,-94.996000,90.000000,bottom
"C58","100nF","C_0603_1608Metric",100.203000,-76.962000,270.000000,bottom
"C59","10uF","C_0603_1608Metric",98.679000,-76.962000,270.000000,bottom
"D8","B240A","D_SMA_POL",126.746000,-131.191000,90.000000,bottom
"D9","SMAJ20A","D_SMA_POL",89.027000,-116.459000,90.000000,bottom
"D10","SMAJ20A","D_SMA_POL",96.393000,-116.459000,90.000000,bottom
"D11","SMAJ20A","D_SMA_POL",152.146000,-109.728000,180.000000,bottom
"D12","MM1Z3V0","D_SOD-123_POLARITY",88.773000,-105.283000,90.000000,bottom
"D13","SMAJ20A","D_SMA_POL",92.710000,-116.459000,90.000000,bottom
"D14","SMAJ20A","D_SMA_POL",100.076000,-116.459000,90.000000,bottom
"D15","MM1Z3V0","D_SOD-123_POLARITY",99.949000,-105.283000,90.000000,bottom
"D16","MM1Z3V0","D_SOD-123_POLARITY",152.146000,-102.108000,0.000000,bottom
"D20","1N4148","D_MiniMELF_POLARITY",133.604000,-91.313000,180.000000,bottom
"D21","1N4148","D_MiniMELF_POLARITY",140.208000,-75.692000,90.000000,bottom
"D23","SMAJ20A","D_SMA_POL",103.759000,-116.459000,90.000000,bottom
"D24","MM1Z3V0","D_SOD-123_POLARITY",103.632000,-105.283000,90.000000,bottom
"D31","SMAJ20A","D_SMA_POL",114.808000,-116.459000,90.000000,bottom
"D32","MM1Z3V0","D_SOD-123_POLARITY",114.681000,-105.283000,90.000000,bottom
"D33","SMAJ20A","D_SMA_POL",125.857000,-116.459000,90.000000,bottom
"D34","SMAJ20A","D_SMA_POL",122.174000,-116.459000,90.000000,bottom
"D35","SMAJ20A","D_SMA_POL",129.540000,-116.459000,90.000000,bottom
"D36","SMAJ20A","D_SMA_POL",118.491000,-116.459000,90.000000,bottom
"D37","SMAJ20A","D_SMA_POL",107.442000,-116.459000,90.000000,bottom
"D38","SMAJ20A","D_SMA_POL",111.125000,-116.459000,90.000000,bottom
"D39","MM1Z3V0","D_SOD-123_POLARITY",125.857000,-105.283000,90.000000,bottom
"D40","MM1Z3V0","D_SOD-123_POLARITY",122.047000,-105.283000,90.000000,bottom
"D41","MM1Z3V0","D_SOD-123_POLARITY",129.413000,-105.283000,90.000000,bottom
"D42","MM1Z3V0","D_SOD-123_POLARITY",118.364000,-105.283000,90.000000,bottom
"D43","MM1Z3V0","D_SOD-123_POLARITY",107.315000,-105.283000,90.000000,bottom
"D44","MM1Z3V0","D_SOD-123_POLARITY",110.998000,-105.283000,90.000000,bottom
"D48","MM1Z3V0","D_SOD-123_POLARITY",96.266000,-105.283000,90.000000,bottom
"D49","MM1Z3V0","D_SOD-123_POLARITY",92.456000,-105.283000,90.000000,bottom
"F1","0ZCF0100AF2A ","Fuse_2920_7451Metric",120.269000,-131.191000,0.000000,bottom
